Category,Name,URL,$ Raised,Investors,Founded,HQ,Focus
Code,Seek,https://www.seek.ai/,"$10,000","ARC Angel Fund, Differential Ventures, Function Collective",2021,"New York, NY",Data queries / SQL
Image,Maket,https://www.maket.ai/,"$20,000","NEXT Canada, Pareto Holdings, Front Row Ventures, Techstars, Dispatch Ventures, Edward Lando, Nadav Ben-Chanoch",2019,"Montreal, Canada",Architecture planning
Video,DeepWord,https://www.deepword.co/,"$20,000","Elevate Ventures, IU Ventures",2020,"Bloomington, US",Personalized videos
Text,Creatext,https://www.creatext.ai/,"$20,000",Techstars,2020,"Berlin, Germany",Sales Prospecting / email generation
Audio,Listnr,https://www.listnr.tech/,"$30,000","First Cheque, India Quotient, Titan Capital, Y Combinator",2020,"Bangalore, India",Voice generation
Avatars,In3D,https://in3d.io/,"$40,000",XTX Ventures,2019,"San Francisco, CA",Personal 3D avatars
Video,Elai,https://elai.io/,"$60,000","Startup Wise Guys, SID Venture Partners",2021,"Lewes, US",Text to Video
Text,Broca,https://www.usebroca.com/,"$80,000","Forum Ventures, Right Side Capital Management",2020,"Vancouver, Canada",Content creation
Image,YoDayo,https://yodayo.com/,"$100,000",Friends and Family,2021,"New York, NY",Anime art generation
Semantic Search,Pathway,https://www.pathway-ai.com/,"$100,000",Entrepreneur First,2022,"London, UK",Search financial information
Chatbot/Conversational AI,Cass,https://www.cass.ai/,"$100,000",,2014,"San Francisco, CA",Automated Virtual Agents (Healthcare)
Text,Koalluh,http://koalluh.com/,"$100,000",Character,2022,"Atlanta, GA",Story creation for kids
Video,Steve,https://www.steve.ai/,"$110,000",,2020,CA,Text to Video
Code,Enzyme,https://enzyme.so/,"$120,000",Techstars,2020,"Denver, CO",Web App Builders
Chatbot/Conversational AI,Quickchat,https://www.quickchat.ai/,"$125,000",Y Combinator,2019,Poland,AI Assistants
Chatbot/Conversational AI,Incentivai,https://www.incentivai.co/,"$125,000","Y Combinator, Amino Capital, Vy Capital",2018,"San Francisco, CA",Automated Virtual Agents
Image,Replicate,https://replicate.com/,"$125,000",Y Combinator,2019,"Culver City, United States",Open Source Art generation
Data,SharePay,https://getsharepay.com/,"$125,000",,2022,"Berkeley, CA",Shared payments
Image,Poly,https://withpoly.com/,"$130,000",Y Combinator,2022,"Santa Monica, CA",Design
Code,MutableAI,https://mutable.ai/,"$130,000","AIX Ventures, Y Combinator",2021,"Pittsburgh, United States",Code Generation / Quality
Semantic Search,Metaphor,https://metaphor.systems/,"$130,000","Helium-3 Ventures, Y Combinator, Atypical Ventures, Lombardstreet Ventures, Pioneer Fund, Pi Campus",2021,"New York, NY",Video/Image Search
Text,CopyMonkey,https://copymonkey.ai/,"$130,000","JOINT JOURNEY, River Venture Partners, Herman Kienhuis, Angels Band, EMERGE",2020,"Riga, Latvia",Marketing / E-Commerce Listings
Text,Write with LAIKA,https://www.writewithlaika.com/,"$150,000",Innovationsfonden,2022,"Copenhagen, Denmark",Personalised AI for writers
Text,reKnow,https://www.reknow.io,"$150,000",Skalata Ventures,2021,"Canberra, Australia",AI text generation and repurposing
Text,Hypotenuse AI,https://www.hypotenuse.ai/,"$150,000","Allison Pickens, Cabra VC, CP Ventures, EGR Partners, January Capital, Protege Ventures, Smart Partnership Capital, Smile Group, Y Combinator, Zentani Capital",2020,"Mountain View, United States",AI Content
Text,Letterdrop,https://letterdrop.com/,"$150,000",Y Combinator,2020,"San Francisco, CA",Marketing content operations
Image,Kaedim,https://www.kaedim3d.com/,"$200,000",,2020,"London, UK",2D to 3D image generation
Semantic Search,Delv AI,https://www.delv.ai/,"$200,000","Village Global, On Deck, Backend Capital (Lucy Guo), ClickUp (DreamCap VC)",2021,Miami,Hyper-local search and extractive summaries
Text,Samplead,https://samplead.co/,"$200,000",Fusion LA,2022,"Tel Aviv, IL",Personalized Emails (Sales)
Audio,BeyondWords,https://beyondwords.io/,"$200,000","Innovate UK, Newark Venture Partners, Meyvn",2016,"London, UK",Text to speech & speech to text
Video,Lumen5,https://lumen5.com/,"$220,000","New Ventures BC, Creative Destruction Lab (CDL), NEXT Canada, BCF Ventures",2016,"Vancouver, Canada","Text to Video, Video creation/editing"
Text,Seenapse,https://www.seenapse.it/,"$230,000","Nazca Ventures, Wayra",2014,Mexico City,Idea generation
Summarization,Scholarcy,https://www.scholarcy.com/,"$240,000",,2019,"Covent Garden, United Kingdom",Summarization
Game,GGPredict,https://ggpredict.io/,"$260,000","ff Venture Capital, TDJ Pitango Ventures",2019,"Warsaw, Poland",Gaming training
Image,Hexo,https://hexo.ai/,"$270,000",Antler Global,2022,SF/Bangalore,Custom image generation
Code,Unthink AI,https://unthink.ai/,"$285,000","HBAR Fund, George Brody, Anto Thomas",2022,"Dallas, TX",E-Commerce web page generation
Game,Parsnip,https://www.parsnip.ai/,"$300,000","Luis von Ahn, Severin Hacker, Jacob Peters, Zach Goldberg, Mark Miller, Barry Huang, and other angels",2020,"New York, NY",Cooking education
Text,Sage SEO,https://www.sageseo.ai/,"$325,000","Conscious Venture Fund, Nathan Stoll",2020,"Philadelphia, PA",generates Google Search results
Chatbot/Conversational AI,Sapling.ai,https://sapling.ai,"$330,000",Y Combinator,2019,"San Francisco, CA",AI messaging assistant
Text,GoCharlie,https://gocharlie.ai/,"$330,000","Alchemist Accelerator, Emerging Ventures, IU Ventures",2021,"Allentown, United States",Marketing content creation
Code,Axiom AI,https://axiom.ai/,"$330,000",Y Combinator,2018,"London, UK",Browser automation
Video,AudioLabs,https://www.audiolabs.io,"$360,000","Founders & execs from Cloudinary, WSC Sports, BrightData, Piggy, Nas Daily & more",2021,"Tel Aviv, Israel",Podcast to shortform clips
Game,Motorica AB,https://www.motorica.ai/home,"$450,000",,2020,"Stockholm, Sweden",AI character animation
Video,Zebracat,https://www.zebracat.ai/,"$450,000","Entrepreneur First, Dhyan VC",2021,"Berlin, Germany",Marketing video generation
Text,Inventurist,https://www.inventurist.ai/,"$500,000",,2019,California,Market research
Audio,Harmonai,https://www.harmonai.org/,"$500,000","Alchemist Accelerator, Emerging Ventures, IU Ventures",2020,"Allentown, PA",Audio generation
Audio,Pilot,https://www.getpilot.ai/,"$500,000","L2 Ventures, Pioneer Fund, Y Combinator",2022,"Walnut, United States",Speech to text / data organization
Code,AskEdith,https://www.askedith.ai/,"$500,000",Boost VC,2022,"Santa Clara, United States",Data queries / SQL
Audio,UberDuck,https://uberduck.ai/,"$500,000",Y Combinator,2022,"Seattle, WA",Voiceovers
MLOps/Platform,Rubbrband,https://rubbrband.com/,"$500,000",Y Combinator,2022,"San Francisco, CA",Open-source ML training
Code,Maya,https://mayalabs.io/,"$500,000","First Cheque, India Quotient, Titan Capital, Y Combinator",2020,"Bangalore, India",Software generation
Summarization,Glasp,https://glasp.co/,"$500,000",CyberAgent VC,2021,"San Francisco, CA",Note summarization / annotation
Image,Accomplice,https://accomplice.ai,"$520,000","Tinyseed, Splash Capital",2021,"Charlotte, NC",AI-generated stock photos
Chatbot/Conversational AI,Edgi Learning,https://www.edgibot.com/,"$685,000","LearnStart, Twenty Seven Ventures, Avalanche VC, Copper Wire Ventures",2021,"Brooklyn, NY",Homework assistant / chatbot
Image,Coxwave,https://www.coxwave.com/,"$750,000",,2021,"Seoul, South Korea",Image editing and search
Audio,Dubverse,https://dubverse.ai/,"$800,000",Kalaari Capital,2021,"Gurgaon, India",Video dubbing
Audio,Paperplane,https://www.paperplane.ai/,"$1,000,000","Jackson Moses, Bloomberg Beta, Afore Capital",2021,"New York, NY",Speech to text / data organization
Data,Betterdata,https://www.betterdata.ai/,"$1,000,000",Entrepreneur First,2021,"Singapore, Singapore",Synthetic Data
Image,Berserq,https://www.berserq.io,"$1,000,000",,2021,Singapore,Marketing image generation
Video,Aug X Labs,https://www.augxlabs.com/,"$1,000,000",Untapped Capital,2021,New York City,Multi-user video dev tool
Text,WriterZen,https://writerzen.net/,"$1,000,000",Wavemaker Partners,2021,"Singapore, Singapore",Content creation
Data,WordLift,https://wordlift.io/,"$1,000,000",Primo Ventures,2017,"Rome, Italy",AI-powered SEO / structured data generation
Text,TextCortex AI,https://textcortex.com/,"$1,000,000","btov Partners, Speedinvest, Amar Shah, Holger Hengstler, Entrepreneur First",2021,"Berlin, Germany",Marketing content generation
Data,Replica Analytics,https://replica-analytics.com/,"$1,000,000","Nina Capital, Mitacs, FACIT",2019,"Ottawa, Canada",Healthcare synthetic data
Text,neuroflash,https://neuroflash.com/,"$1,000,000","Microsoft Accelerator Berlin, Michael Diehl",2017,"Hamburg, Germany",Marketing content generation
Text,Linguix,https://linguix.com/,"$1,000,000","Antler, Flyer One Ventures, Grishin Robotics, Nitrx Capital LLC",2018,"Miami, United States",Writing/Editing
Text,Correcto,https://correcto.es/,"$1,000,000",Asymmetry Ventures,2021,"London, UK",Writing / editing (Spanish)
Semantic Search,Consensus,https://consensus.app/,"$1,000,000","Winklevoss Capital, Sam Parr, Joe Speiser, Permit Ventures, Bettor Capital, and 4 others",2021,"Boston, United States",Scientific Search / data organization
MLOps/Platform,Cerebrate AI,https://cerebrate.ai/beta/,"$1,000,000",Yakov Livshits,2021,Israel,AI as a service platform
Audio,Beatoven.ai,https://www.beatoven.ai/,"$1,055,000",Entrepreneur First and Capital 2B,2021,"Bangalore, India",Background music generation
Video,Vidyo,https://vidyo.ai/,"$1,160,000","PointOne Capital, Entrepreneur First, Upsparks",2021,"HSR Layout, India",Video clipping (longform to shortform)
Video,SuperCreator,https://www.supercreator.ai/,"$1,170,000","Serpentine Ventures, Benson Oak Ventures",2021,"Tel Aviv, Israel",Short form video
Audio,Kaizan,https://kaizan.ai/,"$1,180,000","Jigsaw VC, Founders Factory, Ledger, Charlotte Street Capital, IPONWEB, and 4 others",2021,"London, UK",Contact center / customer support
Video,Colossyan,https://www.colossyan.com/,"$1,190,000","Day One Capital, APX, Oktogon Ventures, Mikal Hallstrup, Akos Kapui",2020,"Wilmington, DE",AI Video Creation
Text,Frase,https://www.frase.io/,"$1,200,000","Pedro Tortosa, Bantam Group",2016,"Boston, United States",Content creation (SEO)
Video,Kamua,https://kamua.com/,"$1,230,000","Albert Armengol, Scott Cohen, Jellysmack",2019,"London, UK",Video editing / repurposing
Video,Wisecut,https://www.wisecut.video/,"$1,250,000","Google for Startups, TheVentureCity",2019,"Miami, FL",Video editing
Avatars,NeuraLoom,https://neuraloom.ai/,"$1,250,000",StartA VC,2019,"New York, NY",Generate synthetic avatars
Bio,NeuroX1,http://www.neurox1.com/,"$1,250,000","Trousdale Ventures, Vibe Capital",2021,"Austin, TX",Drug design for neurodegenerative diseases
Audio,Boomy,https://boomy.com/,"$1,380,000","Anna Cho, Boost VC, Chicago Early Growth Ventures, First Check Ventures, Future Labs, Intonation Ventures, Jeffrey Eschbach, Scrum Ventures, Sound Media Ventures",2018,"Berkeley, CA",Song generation
Audio,WaveAI,https://www.wave-ai.net/,"$1,400,000",500 Global,2017,"Sunnyvale, CA",Song generation
Text,Hypertype,https://hypertype.co/,"$1,500,000","Luminar Ventures, Antler, Angel Investors, Sting, Propel Capital",2021,"Stockholm, Sweden",Email generation
Code,Durable,https://durable.co/,"$1,500,000","Infinity Ventures, South Park Commons, Soma Capital, Torch Capital",2021,"San Francisco, CA",Web App Builder
Image,Botika,https://botika.io/,"$1,500,000","Homeward Ventures, Kaedan Capital, Operator Partners, Surround Ventures, Verissimo Ventures",2018,"Tel Aviv, Israel",Image Generation
Semantic Search,Zeta Alpha,https://www.zeta-alpha.com/,"$1,500,000",,2019,"Amsterdam, Netherlands",Discover and organize knowledge
Audio,Coqui,https://coqui.ai/,"$1,550,000",Mango Capital,2021,"Berlin, Germany",Text to Speech / Voice Synthesis
Image,OpenArt,https://openart.ai/,"$1,600,000","Decent Capital, BasisSet",2022,"San Jose, United States",Art generation
Image,Workorder AI,https://www.workorder.ai/,"$1,700,000","Mucker Capital, UBMB, AngelList, Uncommon Capital",2019,"Santa Monica, CA",Architecture design
Audio,Eleven Labs,https://www.elevenlabs.io/,"$1,800,000",Concept Ventures,2022,London,Long format speech generation
Audio,Speechki,https://speechki.org/,"$1,800,000","Greycroft, Alchemist, TS Ventures, DVC",2019,"Austin, TX",Audiobook voice generation
MLOps/Platform,Banana,https://www.banana.dev/,"$1,820,000","Alumni Ventures, Basecamp Fund, Pioneer.app,
CapitalX",2021,"San Francisco, CA",Model deployment
Text,United Robots,https://www.unitedrobots.ai/,"$2,000,000",Investment AB Spiltan,2016,"Malmö, Sweden",News Publishing / Generation
MLOps/Platform,TrueFoundry,https://www.truefoundry.com/,"$2,000,000","Sequoia Capital Operations, LLC dba Surge, Anthony Goldbloom, Michael Boufford, Maneesh Sharma, Dilipkumar Khandelwal, Naval Ravikant, Eniac Ventures Management, LLC, Sequoia Capital Operations, LLC",2021,"San Francisco, CA",Model development
Video,Respeecher,https://www.respeecher.com/,"$2,000,000","ff Venture Capital, Comcast NBCUniversal LIFT Labs Accelerator, Powered by Techstars, TechNexus Venture Collaborative, Chris Adelsbach, Acrobator Ventures | Acrobator.vc, and 5 others",2018,"Kyiv, Ukraine",Voice cloning
Audio,Notably,https://www.notably.ai/,"$2,000,000",Sentiero Ventures,2021,"Florida, United States","Note taking, organization, transcription"
Video,Munch,https://www.getmunch.com/,"$2,000,000","Cardumen Capital, Remagine Ventures",2021,"Tel Aviv, Israel",Social media content generation
MLOps/Platform,Featureform,https://www.featureform.com/,"$2,000,000","Zetta Venture Partners, Berkeley SkyDeck Fund",2019,"San Francisco, CA",Model development
Image,Depix,https://www.depix.ai/,"$2,000,000","Anges Quebec, AQC Capital",2019,"Montréal, Canada","Background removal, Photo enhancement"
Text,Compose AI,https://www.compose.ai/,"$2,000,000","Craft Ventures, Root and Shoot Ventures, Underdog Labs, Y Combinator",2020,"San Francisco, CA",Writing (automated)
Code,Codiga,https://www.codiga.io/,"$2,000,000","LAUNCH, Draper Cygnus, The Syndicate, Olivier Pomel, Service Provider Capital, and 8 others",2019,"Denver, United States",Code Quality
Code,aiXcoder,https://www.aixcoder.com/,"$2,000,000","PreAngel, Hillhouse Capital Group",2017,"Haidian, China",Code Completion
Audio,Aflorithmic,https://www.aflorithmic.ai/,"$2,000,000",Crowd Media,2019,"London, UK",Audio as a Service
Summarization,Upword,https://upword.ai/,"$2,000,000","Atooro, Telefonica, Saar Wilf, David Magerman, Eric Banoun, LVP, Arc impact",2021,"Tel Aviv, Israel",News summarization
Sentiment Analysis,Pluralytics,https://pluralytics.com/,"$2,000,000",Ecliptic Capital,2020,"Minneapolis, United States",Text sentiment analysis
Video,Pictory,https://pictory.ai/,"$2,000,000","FUSE, Voyager Capital, Bharat Shyam, Bill Bryant, Omri Bahat",2019,"Bothell, United States",Text to Video
Data,Octopize,https://octopize-md.com/en/,"$2,000,000","Bpifrance, Pays de la Loire Participations, Atlantique Vendée Innovation, Pays de la Loire Développement",2018,"Nantes, France",Synthetic data
Image,Hypar,https://hypar.io/,"$2,000,000",Building Ventures,2018,"Culver City, United States",Architecture design
Audio,Ecrett,https://ecrettmusic.com/,"$2,000,000","Ceres (Japan), Deepcore, iSG Investment Works, Mint (Tokyo), SMBC Venture Capital",2020,"Tokyo, Japan",Music generation
MLOps/Platform,Boltzbit,https://boltzbit.com/,"$2,000,000","Speedinvest, IQ Capital",2020,"London, UK",Generative AI Platform
Audio,SoundRaw,https://soundraw.io/,"$2,240,000","ANOBAKA, Atsushi Fukuda, Ceres (Japan), Deepcore, iSG Investment Works, Jun Fukuda, Kazuomi Kaneto, Masaru Sunagawa, Mint (Tokyo), Shuhei Yamashita, SMBC Venture Capital",2020,"Tokyo, Japan",Song generation
Audio,Aiva Technologies,https://www.aiva.ai/,"$2,280,000","Docler Holding, Geoffroy Verney-Carron, Horizon 2020 SME Instrument, Kima Ventures, Luxinnovation, NetEase, Pitch Your Startup",2016,Luxembourg,Song generation
Chatbot/Conversational AI,Keys,https://www.thekeys.ai/,"$2,320,000","Asymmetry Ventures, Cassis & Cassis Capital, Corner3, Datapower Ventures, DayDreams Ventures, DCA Asset Management, FirstMile Ventures, Kickstart Seed Fund, Moontide Capital, Service Provider Capital, Techstars, The Fund",2018,"Missoula, MT",Text generation
Image,KREA,https://www.krea.ai/,"$2,320,000","Asymmetry Ventures, Cassis & Cassis Capital, Corner3, Datapower Ventures, DayDreams Ventures, DCA Asset Management, FirstMile Ventures, Kickstart Seed Fund, Moontide Capital, Service Provider Capital, Techstars, The Fund",2022,"San Francisco, CA",Art generation
Text,Omneky,https://www.omneky.com/,"$2,500,000","Alloy Fund, Brianne Kimmel, Charlie Feng, Craig Kostelic, Deepcore, Eric Kohlmann, Gene Farrell, Hyphen Capital (San Francisco), John Donovan, Plug and Play Tech Center, Richard Socher, Tien Tzuo, Village Global",2018,"San Francisco, CA",Marketing / ad generation
Image,Cala,https://ca.la/,"$2,500,000","Adam Spector, Bá Minuzzi, BABEL Ventures, Cameron Drummond, Diane Ding, Ding Ventures, Hustle Fund, J Heart Ventures, Jeff Lin, Jonathan Hung, Kaitlin Kapur, Maersk Growth, Real Ventures, Z Venture Capital",2016,"New York, NY",AI Design
Chatbot/Conversational AI,Mana,http://withmana.com/,"$2,500,000","Global Founders Capital, Goodwater Capital, MSM, Umami Capital",2020,"London, UK",AI back office
Text,OthersideAI,https://www.othersideai.com/,"$2,600,000","Active Capital, Alpha Bridge Ventures, Chapter One Ventures, Hustle Fund, Incisive Ventures, Madrona Venture Group, New York Venture Partners",2020,"Los Angeles, United States",Writing/Editing
Text,Writesonic,https://writesonic.com/,"$2,600,000","Alexey Girzhadovich, Amino Capital, Broom Ventures, HOF Capital, John Xie, Manpreet Singh, Neel Palrecha, Rebel Fund, Soma Capital, Vinay Shukla, William Spencer, Y Combinator",2021,"San Francisco, CA",Content Writing
Video,Maverick,https://www.trymaverick.com/,"$2,700,000","Signia Venture Partners, Global Founders Capital, Unpopular Ventures, Hack VC",2021,"San Francisco, CA",Personalized videos for ecommerce
Video,OASIS,https://theoasis.com/,"$2,700,000","Atypical Ventures, Bossanova Investimentos, George Burke, Zillionize, Shane Neman, and 1 others",2019,"CA City, CA",Face swaps
Chatbot/Conversational AI,Pragma,https://www.pragma.ai/,"$2,800,000","INT3, Secret Chord Ventures",2021,"Tel Aviv, IL",AI sales assistant
Code,Mintlify,https://mintlify.com//,"$2,800,000","Bain Capital Ventures, Quinn Slack, Twenty Two Ventures, Y Combinator",2020,"New York, NY",Code Documentation
Video,Windsor,https://www.windsor.io/,"$3,000,000","Y Combinator, Afore Capital, Pioneer, Precursor Ventures, Packy McCormick, and 8 others",2018,"San Francisco, US",Personalized videos
Text,Sudowrite,https://www.sudowrite.com/,"$3,000,000",500 Global,2020,"San Francisco, CA",Writing (automated)
Audio,Sonantic,https://www.sonantic.io/,"$3,000,000","EQT Ventures, Edward Lando, AME Cloud Ventures, Jeremy Yap, Bart Swanson, and 1 others",2018,"London, UK",Voice Generation
Audio,NeuralSpace,https://www.neuralspace.ai/,"$3,000,000","Merus Capital, GoHub, APX, Techstars Hub71, Verissimo Ventures, and 2 others",2019,"London, UK",Speech to Text
Audio,Stylo,https://www.askstylo.com/,"$3,000,000","Matchstick Ventures, Caffeinated Capital, Converge, VitalizeVC",2021,"Boulder, United States",Contact Center
Video,Plask,https://plask.ai/,"$3,000,000","Smilegate Investment, KT investment Inc., Timewise Investment, NAVER D2 Startup Factory",2020,"Seoul, South Korea",Animation
Sentiment Analysis,MonkeyLearn,https://monkeylearn.com/,"$3,000,000","Uncork Capital, Bling Capital, 500 Global, Garuda Ventures, v1.vc, and 16 others",2014,"San Francisco, CA",Text analysis
MLOps/Platform,Lighton,https://lighton.ai/,"$3,000,000","Anorak Ventures, Frst Capital, Quantonation",2016,"Paris, France",NLP
Image,Let's Enhance,https://letsenhance.io/,"$3,000,000","Acrobator Ventures | Acrobator.vc, Techstars London Accelerator, Digital Future, Chamaeleon, Synetro Group, and 4 others",2018,"San Francisco, CA",Photo enhancement
MLOps/Platform,Humanloop,https://humanloop.com/,"$3,000,000","Y Combinator, Index Ventures, UCL Technology Fund",2020,"London, UK",Model development
Text,HIPSTO,https://hipsto.ai/,"$3,000,000",,2018,Amsterdam,AI Knowledge Discovery Platform
Image,Diagram,https://diagram.com/,"$3,000,000","Base Case Capital, Basis Set Ventures, Browder Capital, Figma, Lachy Groom, Ludlow Ventures, m]x[v Capital, Not Boring Capital, Offline Ventures, Otherwise Fund, Shrug Capital, Weekend Fund",2022,"New York City, United States",Product Design
Chatbot/Conversational AI,Cohere.io,https://cohere.io/,"$3,000,000","BoxGroup, Caffeinated Capital, Chapter One Ventures, Daniel Romero, Elad Gil, Eric Glyman, Eric Wu, Initialized Capital Management, Jack Altman, Karim Atiyeh, Naval Ravikant, Oscar Hong, Prasanna Sankaranarayanan, Rahul Vohra, Reform Ventures, Shrav Mehta, Shrug Capital, Soma Capital, Todd Goldberg, Vivek Sodera, Y Combinator, Zachary Perret",2020,"New York, NY",Customer Support
Semantic Search,Andi,https://andisearch.com/,"$3,000,000","Acacia Ventures Partners, BBQ Capital, Fepo Capital, Gaingels, Goodwater Capital, K20 Fund, Y Combinator",2020,"Miami, FL",Smart Search Assistant
Audio,Voiseed,https://www.voiseed.com/,"$3,000,000",EIC Fund - LIFTT,2020,"Milan, Italy",Multilingual AI dubbing platform
Chatbot/Conversational AI,Attention,https://www.attention.tech/,"$3,135,000","Eniac, Liquid2, Frst, MGV, Ride",2021,"New York, NY",Voice assistant for sales
Semantic Search,Dashworks,https://www.dashworks.ai/,"$3,150,000","Y Combinator, The MBA Fund",2018,"San Francisco, CA",Search engine platform
Summarization,Summari,https://www.summari.com/,"$3,200,000","Eniac Ventures, Founder Collective, G Squared, Raine Ventures, SV Angel",2019,"San Francisco, CA",Summarization (reading)
